Mikhail_Golenkov  	 /moodle/lib/cronlib.php  	 vuln  	 209  	php:S2964
sam_marshall  	 /moodle/lib/tests/behat/behat_hooks.php  	 vuln  	 578  	php:S2964
Juan_Leyva  	 /moodle/auth/tests/external_test.php  	 vuln  	 141  	php:S2068
Juan_Leyva  	 /moodle/auth/tests/external_test.php  	 vuln  	 166  	php:S2068
Juan_Leyva  	 /moodle/auth/tests/external_test.php  	 vuln  	 189  	php:S2068
Juan_Leyva  	 /moodle/auth/tests/external_test.php  	 vuln  	 213  	php:S2068
David_Monllao  	 /moodle/search/engine/simpledb/tests/engine_test.php  	 vuln  	 116  	php:S2964
David_Monllao  	 /moodle/search/engine/simpledb/tests/engine_test.php  	 vuln  	 157  	php:S2964
David_Monllao  	 /moodle/search/engine/simpledb/tests/engine_test.php  	 vuln  	 159  	php:S2964
David_Monllao  	 /moodle/lib/tests/indicators_test.php  	 vuln  	 264  	php:S2964
David_Monllao  	 /moodle/lib/tests/indicators_test.php  	 vuln  	 209  	php:S2964
Damyon_Wiese  	 /moodle/auth/oauth2/classes/api.php  	 vuln  	 265  	php:S2068
Damyon_Wiese  	 /moodle/auth/oauth2/classes/api.php  	 vuln  	 314  	php:S2068
Juan_Leyva  	 /moodle/mod/lesson/tests/external_test.php  	 vuln  	 1348  	php:S2068
Juan_Leyva  	 /moodle/mod/lesson/tests/external_test.php  	 vuln  	 1366  	php:S2068
Juan_Leyva  	 /moodle/mod/lesson/tests/external_test.php  	 vuln  	 1217  	php:S2964
Juan_Leyva  	 /moodle/mod/lesson/tests/external_test.php  	 vuln  	 1146  	php:S2964
Andrew_Nicols  	 /moodle/files/converter/unoconv/classes/converter.php  	 vuln  	 250  	php:S2964
Rajesh_Taneja  	 /moodle/lib/behat/lib.php  	 vuln  	 540  	php:S2964
Juan_Leyva  	 /moodle/auth/tests/external_test.php  	 vuln  	 75  	php:S2068
Juan_Leyva  	 /moodle/auth/email/tests/external_test.php  	 vuln  	 88  	php:S2068
Juan_Leyva  	 /moodle/auth/email/tests/external_test.php  	 vuln  	 133  	php:S2068
skodak  	 /moodle/admin/cli/reset_password.php  	 vuln  	 57  	php:S2068
Damyon_Wiese  	 /moodle/mod/assign/feedback/editpdf/tests/behat/behat_assignfeedback_editpdf.php  	 vuln  	 65  	php:S2964
Damyon_Wiese  	 /moodle/mod/assign/feedback/editpdf/tests/behat/behat_assignfeedback_editpdf.php  	 vuln  	 72  	php:S2964
Damyon_Wiese  	 /moodle/mod/assign/feedback/editpdf/tests/behat/behat_assignfeedback_editpdf.php  	 vuln  	 79  	php:S2964
Juan_Leyva  	 /moodle/mod/quiz/tests/external_test.php  	 vuln  	 1605  	php:S2068
Simey_Lameze  	 /moodle/auth/cas/CAS/CAS/Request/CurlRequest.php  	 vuln  	 132  	php:S4830
Juan_Leyva  	 /moodle/mod/quiz/tests/external_test.php  	 vuln  	 771  	php:S2068
Juan_Leyva  	 /moodle/mod/quiz/tests/external_test.php  	 vuln  	 677  	php:S2068
David_Monllao  	 /moodle/search/engine/solr/tests/engine_test.php  	 vuln  	 178  	php:S2964
David_Monllao  	 /moodle/search/engine/solr/tests/engine_test.php  	 vuln  	 220  	php:S2964
David_Monllao  	 /moodle/search/engine/solr/tests/engine_test.php  	 vuln  	 222  	php:S2964
Marina_Glancy  	 /moodle/lib/adodb/adodb.inc.php  	 vuln  	 670  	php:S2068
Marina_Glancy  	 /moodle/lib/adodb/adodb.inc.php  	 vuln  	 753  	php:S2068
Juan_Leyva  	 /moodle/enrol/self/tests/externallib_test.php  	 vuln  	 157  	php:S2068
Juan_Leyva  	 /moodle/enrol/self/tests/externallib_test.php  	 vuln  	 202  	php:S2068
Juan_Leyva  	 /moodle/enrol/self/tests/externallib_test.php  	 vuln  	 230  	php:S2068
Jun_Pataleta  	 /moodle/lib/tcpdf/include/tcpdf_static.php  	 vuln  	 1951  	php:S4830
Jun_Pataleta  	 /moodle/lib/tcpdf/include/tcpdf_static.php  	 vuln  	 1952  	php:S4830
Andrew_Nicols  	 /moodle/lib/tests/behat/behat_general.php  	 vuln  	 286  	php:S2964
Eric_Merrill  	 /moodle/auth/cas/CAS/CAS/Request/CurlRequest.php  	 vuln  	 125  	php:S4830
Damyon_Wiese  	 /moodle/lib/tests/lock_test.php  	 vuln  	 118  	php:S2964
Inaki  	 /moodle/auth/cas/CAS/CAS/Request/CurlRequest.php  	 vuln  	 131  	php:S4830
Rajesh_Taneja  	 /moodle/user/tests/userlib_test.php  	 vuln  	 151  	php:S2068
Petr_Skoda  	 /moodle/user/editadvanced.php  	 vuln  	 195  	php:S2068
Frederic_Massart  	 /moodle/repository/tests/generator_test.php  	 vuln  	 160  	php:S2068
Tony_Levi  	 /moodle/lib/behat/behat_base.php  	 vuln  	 374  	php:S2964
Mark_Nielsen  	 /moodle/mod/lti/tests/generator/lib.php  	 vuln  	 50  	php:S2068
Petr_Skoda  	 /moodle/mod/quiz/accessrule/password/tests/rule_test.php  	 vuln  	 43  	php:S2068
Petr_Skoda  	 /moodle/lib/editor/tinymce/plugins/spellchecker/classes/GoogleSpell.php  	 vuln  	 83  	php:S4830
Petr_Skoda  	 /moodle/admin/tool/uploaduser/index.php  	 vuln  	 800  	php:S2068
Inaki  	 /moodle/auth/cas/auth.php  	 vuln  	 145  	php:S2068
Inaki  	 /moodle/auth/cas/auth.php  	 vuln  	 159  	php:S2068
Inaki  	 /moodle/lib/ldaplib.php  	 vuln  	 220  	php:S4433
Eloy_Lafuente_(stronk7)	 /moodle/backup/util/dbops/restore_dbops.class.php  	 vuln  	 1232  	php:S2068
Petr_Skoda  	 /moodle/lib/jabber/XMPP/XMLStream.php  	 vuln  	 319  	php:S2964
Petr_Skoda  	 /moodle/lib/phpmailer/src/PHPMailer.php  	 vuln  	 349  	php:S2068
skodak  	 /moodle/lib/db/install.php  	 vuln  	 230  	php:S2068
moodler  	 /moodle/lib/jabber/XMPP/XMPP.php  	 vuln  	 392  	php:S4423
Marina_Glancy  	 /moodle/lib/adodb/drivers/adodb-ldap.inc.php  	 vuln  	 85  	php:S4433
donal72  	 /moodle/mnet/lib.php  	 vuln  	 71  	php:S4830
donal72  	 /moodle/mnet/lib.php  	 vuln  	 72  	php:S4830
Andrew_Davis  	 /moodle/mod/chat/gui_header_js/jsupdated.php  	 vuln  	 135  	php:S2964
Andrew_Davis  	 /moodle/mod/chat/gui_header_js/jsupdated.php  	 vuln  	 166  	php:S2964
Andrew_Davis  	 /moodle/mod/chat/gui_header_js/jsupdated.php  	 vuln  	 233  	php:S2964
fiedorow  	 /moodle/lib/moodlelib.php  	 vuln  	 9109  	php:S2964
Eloy_Lafuente_(stronk7)	 /moodle/lib/adodb/adodb-perf.inc.php  	 vuln  	 366  	php:S2964
moodler  	 /moodle/lib/adodb/adodb-perf.inc.php  	 vuln  	 785  	php:S2964
moodler  	 /moodle/lib/adodb/adodb-perf.inc.php  	 vuln  	 810  	php:S2964
Marina_Glancy  	 /moodle/lib/adodb/adodb.inc.php  	 vuln  	 428  	php:S2068
Sam_Hemelryk  	 /moodle/login/index.php  	 vuln  	 343  	php:S2068
