Creation Date,Update Date,Rule,Status,Severity,File,Line,Message
2019-11-27T07:18:35-0500,2020-01-14T11:38:52-0500,php:S2964,OPEN,MINOR,drupal-a:core/modules/system/tests/modules/csrf_race_test/src/Controller/TestController.php,63,"Remove this call to ""sleep""."
2019-03-29T03:19:57-0400,2020-01-14T11:38:52-0500,php:S2964,OPEN,MINOR,drupal-a:core/tests/Drupal/Tests/Core/Command/QuickStartTest.php,161,"Remove this call to ""sleep""."
2019-02-27T21:05:59-0500,2020-01-14T11:38:52-0500,php:S2964,OPEN,MINOR,drupal-a:core/modules/quickedit/tests/src/FunctionalJavascript/QuickEditLoadingTest.php,315,"Remove this call to ""sleep""."
2018-05-03T18:36:08-0400,2020-01-14T11:38:52-0500,php:S2964,OPEN,MINOR,drupal-a:core/lib/Drupal/Core/Command/ServerCommand.php,258,"Remove this call to ""sleep""."
2018-05-03T18:36:08-0400,2020-01-14T11:38:52-0500,php:S2964,OPEN,MINOR,drupal-a:core/tests/Drupal/Tests/Core/Command/QuickStartTest.php,114,"Remove this call to ""sleep""."
2018-05-03T18:36:08-0400,2020-01-14T11:38:52-0500,php:S2964,OPEN,MINOR,drupal-a:core/tests/Drupal/Tests/Core/Command/QuickStartTest.php,121,"Remove this call to ""sleep""."
2018-05-03T18:36:08-0400,2020-01-14T11:38:52-0500,php:S2964,OPEN,MINOR,drupal-a:core/tests/Drupal/Tests/Core/Command/QuickStartTest.php,215,"Remove this call to ""sleep""."
2018-05-03T18:36:08-0400,2020-01-14T11:38:52-0500,php:S2964,OPEN,MINOR,drupal-a:core/tests/Drupal/Tests/Core/Command/QuickStartTest.php,222,"Remove this call to ""sleep""."
2017-03-06T09:56:45-0500,2020-01-14T11:38:52-0500,php:S2964,OPEN,MINOR,drupal-a:core/modules/migrate/tests/src/Kernel/process/FileCopyTest.php,97,"Remove this call to ""sleep""."
2017-02-21T07:07:44-0500,2020-01-14T11:38:52-0500,php:S2964,OPEN,MINOR,drupal-a:core/modules/content_translation/tests/src/Functional/ContentTranslationUITestBase.php,549,"Remove this call to ""sleep""."
2017-02-21T07:07:44-0500,2020-01-14T11:38:52-0500,php:S2964,OPEN,MINOR,drupal-a:core/modules/content_translation/tests/src/Functional/ContentTranslationUITestBase.php,612,"Remove this call to ""sleep""."
2017-01-26T06:17:57-0500,2020-01-14T11:38:52-0500,php:S2964,OPEN,MINOR,drupal-a:core/modules/datetime_range/tests/src/Kernel/DateRangeItemTest.php,99,"Remove this call to ""sleep""."
2015-09-28T17:08:45-0400,2020-01-14T11:38:52-0500,php:S2964,OPEN,MINOR,drupal-a:core/modules/content_translation/src/Tests/ContentTranslationUITestBase.php,619,"Remove this call to ""sleep""."
2015-09-28T17:08:45-0400,2020-01-14T11:38:52-0500,php:S2964,OPEN,MINOR,drupal-a:core/modules/node/tests/src/Functional/NodeFormSaveChangedTimeTest.php,70,"Remove this call to ""sleep""."
2015-05-15T14:09:40-0400,2020-01-14T11:38:52-0500,php:S2964,OPEN,MINOR,drupal-a:core/modules/content_translation/src/Tests/ContentTranslationUITestBase.php,556,"Remove this call to ""sleep""."
2015-05-15T14:09:40-0400,2020-01-14T11:38:52-0500,php:S2964,OPEN,MINOR,drupal-a:core/modules/system/tests/modules/entity_test/src/Entity/EntityTestMulChanged.php,74,"Remove this call to ""sleep""."
